id,phishing_probability,predicted_label,true_label
67167,0.0144785745,0,0
31437,0.9802757,1,1
708,0.96742666,1,1
75647,0.018243197,0,0
82727,0.1018088,0,0
80676,0.030447058,0,0
82076,0.03263334,0,0
6345,0.89662105,1,1
29783,0.11017272,0,1
8667,0.36144325,0,1
15476,0.9905758,1,1
74393,0.13905837,0,0
84986,0.008229242,0,0
57593,0.033200298,0,0
26355,0.45274207,0,1
43447,0.11132067,0,0
299,0.93842244,1,1
3114,0.91347706,1,1
70923,0.14132954,0,0
43775,0.7791949,1,0
85233,0.086599454,0,0
43492,0.010193758,0,0
46803,0.028217541,0,0
14649,0.9787958,1,1
64314,0.025501294,0,0
82207,0.08629617,0,0
18643,0.96363187,1,1
49578,0.054248985,0,0
35566,0.25599262,0,1
33961,0.5806477,1,1
10946,0.37637398,0,1
8427,0.93880975,1,1
8511,0.7001653,1,1
51107,0.07891951,0,0
57771,0.13402162,0,0
82134,0.64938956,1,0
44504,0.015369642,0,0
80721,0.018243197,0,0
17115,0.9765395,1,1
25838,0.85660714,1,1
80690,0.07683509,0,0
2950,0.5117325,1,1
1519,0.94856554,1,1
15264,0.7442408,1,1
63075,0.0075253034,0,0
53452,0.23347148,0,0
61250,0.08121402,0,0
48612,0.16064915,0,0
4555,0.33824557,0,1
17846,0.9876124,1,1
28486,0.84310925,1,1
31283,0.39139062,0,1
58923,0.0835381,0,0
33677,0.9855267,1,1
10173,0.73998094,1,1
21416,0.9842004,1,1
74078,0.020586079,0,0
61804,0.0033478846,0,0
50098,0.1463532,0,0
85165,0.02216693,0,0
7942,0.96977454,1,1
74346,0.10687401,0,0
85168,0.09906211,0,0
56246,0.08643923,0,0
38702,0.9959785,1,1
36735,0.45912436,0,1
48290,0.0040202606,0,0
2845,0.85239625,1,1
78529,0.02355939,0,0
2587,0.9450775,1,1
16994,0.9962534,1,1
3716,0.6821828,1,1
49242,0.009841043,0,0
50015,0.28625092,0,0
21522,0.8055644,1,1
54234,0.012354566,0,0
5277,0.9887966,1,1
77876,0.6748393,1,0
80874,0.0037985062,0,0
21569,0.92466,1,1
11081,0.9790627,1,1
17247,0.96561694,1,1
58180,0.05830027,0,0
68621,0.09398273,0,0
69338,0.011680155,0,0
27899,0.731591,1,1
55980,0.10872562,0,0
28334,0.21900459,0,1
53113,0.63989353,1,0
30811,0.93140244,1,1
78011,0.05828457,0,0
40421,0.9733402,1,1
79176,0.057346396,0,0
10123,0.92249423,1,1
77838,0.12041896,0,0
37874,0.98398465,1,1
6820,0.58181965,1,1
18940,0.99324715,1,1
1897,0.9129938,1,1
68056,0.0053439327,0,0
77648,0.3976013,0,0
63483,0.033852503,0,0
54944,0.747722,1,0
76514,0.030927358,0,0
78223,0.020933649,0,0
27590,0.9839991,1,1
13414,0.37127408,0,1
74616,0.011752361,0,0
14604,0.1103259,0,1
5069,0.80731046,1,1
25347,0.6206871,1,1
36040,0.97420776,1,1
66559,0.76942205,1,0
32519,0.9877437,1,1
70511,0.06814989,0,0
15501,0.3663063,0,1
45902,0.013605975,0,0
19885,0.903838,1,1
71716,0.0517138,0,0
121,0.9821364,1,1
19388,0.9887289,1,1
198,0.9835487,1,1
1219,0.8856277,1,1
5243,0.9846518,1,1
3802,0.7833978,1,1
48702,0.084394895,0,0
60166,0.046887346,0,0
66937,0.022706924,0,0
61558,0.11005848,0,0
76338,0.49447092,0,0
18329,0.9228731,1,1
7551,0.62795264,1,1
14875,0.66227376,1,1
33290,0.98319674,1,1
52030,0.018411241,0,0
25139,0.8638048,1,1
53836,0.021303013,0,0
40989,0.56828874,1,1
45656,0.24660034,0,0
4647,0.9955751,1,1
48228,0.009116497,0,0
57204,0.028429382,0,0
43344,0.115010925,0,0
35743,0.98766994,1,1
7516,0.9958157,1,1
14021,0.9982576,1,1
11956,0.92710435,1,1
18335,0.83265287,1,1
18190,0.9478407,1,1
1349,0.17785761,0,1
58169,0.068620816,0,0
45347,0.33930418,0,0
71825,0.011447398,0,0
12175,0.9911102,1,1
7848,0.8532365,1,1
50375,0.14385244,0,0
31678,0.9864379,1,1
3197,0.68461823,1,1
51919,0.34668857,0,0
50619,0.10640243,0,0
31192,0.99744165,1,1
34431,0.97561157,1,1
31876,0.85706365,1,1
46549,0.098326504,0,0
45530,0.09558507,0,0
81721,0.052129924,0,0
68007,0.5736292,1,0
66070,0.010168261,0,0
38468,0.21274607,0,1
85455,0.861099,1,0
12123,0.9908154,1,1
59546,0.08376505,0,0
36580,0.10695704,0,1
9005,0.49613813,0,1
60232,0.023994604,0,0
27083,0.98575217,1,1
49268,0.07954818,0,0
64192,0.018411241,0,0
66394,0.017396966,0,0
51320,0.2894397,0,0
32418,0.9593175,1,1
68915,0.11869292,0,0
31347,0.8125576,1,1
29183,0.6499742,1,1
62161,0.3554061,0,0
8647,0.95086694,1,1
9511,0.9453039,1,1
35701,0.96592426,1,1
27445,0.68067825,1,1
51152,0.13608767,0,0
44973,0.005529671,0,0
80058,0.006143307,0,0
79049,0.02535501,0,0
32525,0.987002,1,1
57626,0.073944464,0,0
68461,0.033733588,0,0
7408,0.7630859,1,1
55634,0.7944502,1,0
8275,0.2231955,0,1
40796,0.9977106,1,1
18636,0.9863789,1,1
11112,0.5931609,1,1
59560,0.038497254,0,0
66857,0.25626633,0,0
19699,0.5813506,1,1
52365,0.040317357,0,0
35847,0.9880877,1,1
45547,0.10264007,0,0
65557,0.094489366,0,0
6985,0.18281583,0,1
34690,0.7319058,1,1
40651,0.99643075,1,1
44524,0.043960046,0,0
58700,0.76869553,1,0
80501,0.24124773,0,0
48983,0.0075579816,0,0
3729,0.12383572,0,1
3308,0.9939872,1,1
34576,0.98450375,1,1
12020,0.90144354,1,1
60949,0.23746073,0,0
66907,0.76342106,1,0
56899,0.11154307,0,0
64137,0.154726,0,0
9949,0.89436364,1,1
85138,0.025229212,0,0
3544,0.98670596,1,1
24667,0.9901804,1,1
11482,0.87642646,1,1
24322,0.9283353,1,1
175,0.7818893,1,1
41789,0.49098337,0,1
52238,0.52488804,1,0
49836,0.033423323,0,0
34541,0.7831046,1,1
1005,0.9077763,1,1
9250,0.7315139,1,1
9444,0.99297184,1,1
84193,0.1371454,0,0
33197,0.7159557,1,1
77963,0.09467369,0,0
14696,0.9930131,1,1
85463,0.026502836,0,0
23306,0.978685,1,1
29784,0.9918772,1,1
16182,0.67468154,1,1
4241,0.98339397,1,1
11172,0.75393647,1,1
74799,0.025046356,0,0
21324,0.897921,1,1
78323,0.8772705,1,0
64391,0.07349087,0,0
10483,0.89885044,1,1
65445,0.027749479,0,0
82983,0.016090443,0,0
81741,0.01242746,0,0
51526,0.1210341,0,0
8249,0.947918,1,1
60116,0.0059698485,0,0
58182,0.14955145,0,0
76094,0.008741495,0,0
51568,0.056520883,0,0
19971,0.99374455,1,1
33537,0.9657606,1,1
5871,0.9538806,1,1
34163,0.717706,1,1
2318,0.9968508,1,1
2710,0.7357309,1,1
46131,0.29528904,0,0
72314,0.12421926,0,0
85023,0.06623729,0,0
18759,0.998615,1,1
35551,0.8909996,1,1
58534,0.9476525,1,0
36162,0.9489805,1,1
9231,0.9448715,1,1
2991,0.98852694,1,1
4851,0.73524153,1,1
19233,0.99815613,1,1
32078,0.98339397,1,1
41093,0.890701,1,1
53428,0.029959714,0,0
7667,0.52600956,1,1
62097,0.076208524,0,0
55266,0.018071918,0,0
16597,0.96173185,1,1
70476,0.105181076,0,0
44860,0.0049568354,0,0
57973,0.5174576,1,0
11703,0.892316,1,1
6908,0.9700979,1,1
9288,0.9131359,1,1
79259,0.005111265,0,0
47578,0.005430241,0,0
4780,0.94561654,1,1
35783,0.97350276,1,1
29952,0.94715947,1,1
71225,0.47755876,0,0
21382,0.99574786,1,1
8542,0.7222078,1,1
17743,0.8570069,1,1
48502,0.06004107,0,0
80764,0.046545528,0,0
62731,0.013770748,0,0
26597,0.9506354,1,1
24050,0.99719787,1,1
9300,0.96116686,1,1
76982,0.519286,1,0
59486,0.006452745,0,0
16705,0.9986737,1,1
4654,0.91455764,1,1
67421,0.19987719,0,0
60287,0.0076110647,0,0
34991,0.9397724,1,1
42385,0.9840386,1,1
7777,0.20819037,0,1
50077,0.111251,0,0
67009,0.12610705,0,0
16988,0.99144894,1,1
80497,0.46578234,0,0
4917,0.9908137,1,1
8287,0.5592136,1,1
59533,0.4345175,0,0
74308,0.28360632,0,0
55816,0.37088668,0,0
63848,0.62113345,1,0
72413,0.010677239,0,0
6581,0.8717383,1,1
82421,0.10919401,0,0
72830,0.12873262,0,0
52074,0.009116497,0,0
75268,0.27772728,0,0
18225,0.8969727,1,1
49526,0.011077749,0,0
54717,0.029118285,0,0
20380,0.21571976,0,1
2689,0.6534411,1,1
60016,0.043195106,0,0
26911,0.9794658,1,1
26884,0.98211837,1,1
21649,0.9211884,1,1
66056,0.19859768,0,0
9475,0.950548,1,1
8153,0.86234736,1,1
14734,0.8950987,1,1
78870,0.56828743,1,0
35977,0.95453304,1,1
60468,0.4944751,0,0
75941,0.24676737,0,0
59349,0.015463763,0,0
47247,0.045635033,0,0
2378,0.9986737,1,1
83628,0.7703297,1,0
73393,0.29433444,0,0
30070,0.8685233,1,1
19334,0.9542216,1,1
7563,0.9978866,1,1
69389,0.25931436,0,0
51092,0.025709407,0,0
80664,0.030770196,0,0
38469,0.9498887,1,1
1766,0.7986093,1,1
4729,0.9968747,1,1
22729,0.9816929,1,1
1868,0.9245426,1,1
79159,0.011921659,0,0
67661,0.086599454,0,0
64126,0.005713522,0,0
81040,0.08425423,0,0
26017,0.99872404,1,1
12257,0.9908608,1,1
8979,0.99609405,1,1
1432,0.91099167,1,1
75947,0.14716859,0,0
30952,0.958888,1,1
74871,0.17874563,0,0
1064,0.91978633,1,1
74776,0.009316378,0,0
23986,0.79711795,1,1
69956,0.08889515,0,0
50342,0.008444417,0,0
12167,0.790457,1,1
16427,0.9970085,1,1
34489,0.68114364,1,1
19824,0.9782031,1,1
9380,0.30431354,0,1
7792,0.47755876,0,1
16332,0.9991642,1,1
6050,0.9631292,1,1
47637,0.041587662,0,0
63284,0.083043136,0,0
46766,0.01232181,0,0
2796,0.9829417,1,1
77170,0.20417492,0,0
58102,0.01393925,0,0
73523,0.9143489,1,0
11844,0.37649262,0,1
17434,0.76533985,1,1
82212,0.5417802,1,0
76043,0.20770717,0,0
38639,0.9201931,1,1
65354,0.2960087,0,0
9499,0.8129665,1,1
55708,0.006117062,0,0
1861,0.97002584,1,1
37228,0.33922756,0,1
41351,0.27828512,0,1
542,0.9707389,1,1
40296,0.9755737,1,1
84381,0.014870786,0,0
40106,0.9976841,1,1
63695,0.07248619,0,0
55785,0.096535064,0,0
56168,0.29655814,0,0
76686,0.018243197,0,0
85228,0.049209494,0,0
18519,0.98682123,1,1
28878,0.93929017,1,1
50407,0.016518839,0,0
83009,0.009874357,0,0
17026,0.9991007,1,1
51209,0.09135824,0,0
4245,0.97070676,1,1
81739,0.08571647,0,0
53555,0.039912805,0,0
36892,0.9884524,1,1
85393,0.0061825803,0,0
21847,0.9573159,1,1
43480,0.18304665,0,0
74028,0.6173581,1,0
85476,0.10157865,0,0
74407,0.022630513,0,0
20563,0.95122457,1,1
41997,0.9958896,1,1
2669,0.90171695,1,1
13022,0.86376595,1,1
20000,0.997414,1,1
396,0.9859855,1,1
9657,0.5813506,1,1
3814,0.97230387,1,1
13253,0.88364387,1,1
76184,0.0031445096,0,0
8838,0.6073209,1,1
25497,0.8090202,1,1
655,0.7899067,1,1
3581,0.9874028,1,1
18892,0.8170148,1,1
52213,0.053470224,0,0
6497,0.92982525,1,1
79685,0.08716226,0,0
79581,0.081080765,0,0
17758,0.76568717,1,1
50472,0.009535961,0,0
47364,0.47755876,0,0
48816,0.08232796,0,0
9402,0.7862592,1,1
60765,0.24074464,0,0
55950,0.013862325,0,0
13801,0.93318874,1,1
33210,0.997498,1,1
63869,0.7417124,1,0
13423,0.90964824,1,1
61959,0.019862626,0,0
70595,0.07850998,0,0
78472,0.23255235,0,0
2697,0.9839594,1,1
81073,0.9599698,1,0
15186,0.7609299,1,1
50337,0.16261779,0,0
82390,0.0307542,0,0
58924,0.15002157,0,0
13910,0.89362824,1,1
18674,0.4829687,0,1
10260,0.2835282,0,1
39306,0.8960907,1,1
7087,0.9011563,1,1
65350,0.052062973,0,0
78094,0.031044237,0,0
52599,0.18831232,0,0
54548,0.011026438,0,0
1450,0.6394246,1,1
13772,0.9774179,1,1
47241,0.023140078,0,0
9018,0.97781837,1,1
75210,0.009547501,0,0
43251,0.43724334,0,0
25861,0.9330822,1,1
21775,0.89128613,1,1
15657,0.9980788,1,1
60977,0.15630469,0,0
60043,0.17866006,0,0
79121,0.09485533,0,0
12159,0.9817571,1,1
32136,0.5948981,1,1
18032,0.9926328,1,1
7593,0.8648802,1,1
31502,0.008296214,0,1
29809,0.9981382,1,1
55658,0.13024542,0,0
29304,0.9677729,1,1
47098,0.23354527,0,0
38369,0.32647792,0,1
83420,0.039449602,0,0
25878,0.982742,1,1
32011,0.978091,1,1
32109,0.9583928,1,1
1399,0.9909881,1,1
30665,0.928217,1,1
37740,0.21508916,0,1
62964,0.0342125,0,0
23982,0.91880745,1,1
44912,0.10761265,0,0
36211,0.9864028,1,1
51377,0.13862823,0,0
72238,0.064382814,0,0
79586,0.3564462,0,0
79942,0.10879174,0,0
49032,0.13802913,0,0
633,0.77996594,1,1
51005,0.23125157,0,0
62228,0.3291787,0,0
14920,0.99557376,1,1
3942,0.9924252,1,1
16342,0.9901528,1,1
81403,0.005431872,0,0
64832,0.15476803,0,0
31072,0.9557217,1,1
33671,0.37976408,0,1
827,0.9959061,1,1
18530,0.92209846,1,1
79936,0.0077881715,0,0
76549,0.0082540335,0,0
60836,0.38818717,0,0
14615,0.86412984,1,1
25007,0.94464606,1,1
22303,0.9811141,1,1
71466,0.01750248,0,0
47216,0.0640926,0,0
14181,0.9577062,1,1
43624,0.009902621,0,0
44291,0.021400215,0,0
31201,0.4706143,0,1
910,0.9883917,1,1
77188,0.115784176,0,0
2519,0.9795273,1,1
33732,0.9173507,1,1
38011,0.7468893,1,1
43485,0.034189057,0,0
38436,0.99197865,1,1
63936,0.045566145,0,0
1972,0.98745084,1,1
22053,0.8558674,1,1
1308,0.7574688,1,1
18437,0.87030286,1,1
23468,0.5881095,1,1
4610,0.42355677,0,1
2957,0.921203,1,1
11887,0.9972168,1,1
53460,0.27709997,0,0
67711,0.035951346,0,0
27603,0.99478626,1,1
50756,0.17439215,0,0
51238,0.038145415,0,0
389,0.7947595,1,1
53103,0.015204184,0,0
10858,0.74822617,1,1
11234,0.9450627,1,1
61927,0.012643229,0,0
12288,0.96270955,1,1
14176,0.9097509,1,1
26596,0.68250906,1,1
6970,0.849124,1,1
77889,0.23982927,0,0
7596,0.87999797,1,1
41564,0.8712776,1,1
10687,0.4483649,0,1
51783,0.067535505,0,0
83946,0.030463023,0,0
74131,0.22228716,0,0
23064,0.9969283,1,1
82508,0.048166603,0,0
44057,0.018217675,0,0
48076,0.077927224,0,0
51145,0.07592102,0,0
65671,0.009201447,0,0
44847,0.83578175,1,0
8964,0.5384738,1,1
34327,0.9608254,1,1
10893,0.45456067,0,1
48558,0.009931658,0,0
62793,0.08378804,0,0
24264,0.56223917,1,1
26285,0.9780701,1,1
68109,0.027588077,0,0
3336,0.96836466,1,1
15402,0.99305385,1,1
56056,0.09074711,0,0
72745,0.018432327,0,0
61209,0.042749617,0,0
57503,0.2211289,0,0
44350,0.114736885,0,0
8918,0.9706052,1,1
17198,0.98904175,1,1
38455,0.9254644,1,1
17820,0.6502945,1,1
45543,0.06443735,0,0
38109,0.20218919,0,1
51250,0.023837581,0,0
30599,0.9973496,1,1
3117,0.8070643,1,1
55695,0.04236141,0,0
15313,0.96889055,1,1
61942,0.05045747,0,0
6731,0.98447,1,1
36692,0.99667954,1,1
2069,0.96246743,1,1
19212,0.98013055,1,1
12676,0.99525416,1,1
64647,0.01037972,0,0
40248,0.98297936,1,1
50538,0.1410768,0,0
44978,0.011339181,0,0
71032,0.008175389,0,0
10211,0.7622767,1,1
19869,0.899243,1,1
38853,0.6618367,1,1
57512,0.27940243,0,0
48426,0.018432327,0,0
70555,0.04494002,0,0
41885,0.9968804,1,1
1881,0.2739119,0,1
80145,0.018243197,0,0
14989,0.80993605,1,1
3879,0.77363914,1,1
65879,0.07348998,0,0
1720,0.81168205,1,1
80429,0.14919423,0,0
67996,0.30650976,0,0
59427,0.26482671,0,0
1929,0.9863318,1,1
24485,0.9297364,1,1
44965,0.106488936,0,0
57377,0.0521705,0,0
46383,0.049641907,0,0
37279,0.96922135,1,1
23062,0.9905014,1,1
36110,0.97973824,1,1
10953,0.970883,1,1
83975,0.009322027,0,0
3161,0.9465529,1,1
54052,0.25518245,0,0
27430,0.97389525,1,1
40864,0.9157644,1,1
22339,0.9675714,1,1
73718,0.40744594,0,0
56848,0.07094228,0,0
32891,0.97509325,1,1
1652,0.06617757,0,1
14340,0.051541205,0,1
79720,0.116204016,0,0
47157,0.03551839,0,0
24943,0.98694766,1,1
231,0.9929541,1,1
67359,0.13814445,0,0
6334,0.9968047,1,1
41158,0.12626553,0,1
40744,0.98490345,1,1
8472,0.99063605,1,1
60749,0.043343656,0,0
63059,0.02368135,0,0
75716,0.0074891676,0,0
51274,0.10778936,0,0
6452,0.9540445,1,1
56105,0.01321657,0,0
7691,0.92139786,1,1
11907,0.9851365,1,1
4525,0.9969657,1,1
6007,0.99504614,1,1
14200,0.95737755,1,1
10509,0.97842133,1,1
58226,0.2824544,0,0
27576,0.78150535,1,1
36145,0.15845622,0,1
44542,0.4199184,0,0
41069,0.95749706,1,1
5357,0.93945193,1,1
12329,0.978214,1,1
83441,0.12456687,0,0
38208,0.6082003,1,1
30182,0.21618412,0,1
54011,0.09151712,0,0
26998,0.9805875,1,1
67843,0.008519802,0,0
67220,0.033103548,0,0
36349,0.9526175,1,1
4790,0.7859162,1,1
58467,0.0640926,0,0
20725,0.71620363,1,1
3001,0.9945083,1,1
81512,0.0640926,0,0
11901,0.98313624,1,1
9529,0.51110315,1,1
77406,0.79586846,1,0
18783,0.98667043,1,1
13472,0.86653346,1,1
58292,0.08600711,0,0
3768,0.97116345,1,1
45277,0.085348375,0,0
38370,0.9752814,1,1
23997,0.9940341,1,1
75251,0.15319236,0,0
68307,0.12456169,0,0
54307,0.050715618,0,0
80431,0.0068982625,0,0
28223,0.968764,1,1
76307,0.40529782,0,0
44689,0.08873156,0,0
39790,0.99383956,1,1
79149,0.02535501,0,0
55034,0.02535501,0,0
48739,0.011382429,0,0
79774,0.021423142,0,0
82955,0.44510004,0,0
63049,0.11723888,0,0
40713,0.96891665,1,1
62783,0.07248619,0,0
51669,0.0611111,0,0
71592,0.0114012025,0,0
72430,0.019866168,0,0
37990,0.98010284,1,1
54861,0.047437143,0,0
71293,0.28328764,0,0
62074,0.005274197,0,0
76055,0.026309906,0,0
69386,0.86530703,1,0
81681,0.44126493,0,0
51382,0.013872837,0,0
55432,0.10442003,0,0
81053,0.032363337,0,0
71306,0.19746622,0,0
80318,0.113291204,0,0
33900,0.9907011,1,1
18778,0.99245876,1,1
11107,0.936257,1,1
83582,0.44563717,0,0
47228,0.008255201,0,0
39026,0.61941075,1,1
6142,0.98537946,1,1
867,0.5659218,1,1
64179,0.09906211,0,0
16208,0.9774253,1,1
52448,0.16176262,0,0
73959,0.46709305,0,0
47787,0.019312447,0,0
69887,0.012504959,0,0
46132,0.719756,1,0
78371,0.006563839,0,0
34470,0.5101206,1,1
72348,0.18009025,0,0
70747,0.13904205,0,0
46425,0.102426514,0,0
83765,0.07079007,0,0
40581,0.9804826,1,1
9239,0.9359847,1,1
1637,0.9626108,1,1
34774,0.9983164,1,1
9618,0.75427455,1,1
82335,0.06364489,0,0
13182,0.952285,1,1
51330,0.0072863423,0,0
2005,0.9978331,1,1
69246,0.23785008,0,0
38603,0.9934911,1,1
2750,0.89280134,1,1
34093,0.97264194,1,1
58811,0.09135824,0,0
68023,0.052293696,0,0
24583,0.9932106,1,1
56380,0.009253838,0,0
16728,0.88260776,1,1
61281,0.011387404,0,0
59055,0.064666696,0,0
11935,0.7784888,1,1
15563,0.9154662,1,1
30871,0.7819127,1,1
22627,0.965164,1,1
73548,0.016686292,0,0
60073,0.098958805,0,0
72035,0.22879282,0,0
53782,0.0878269,0,0
38978,0.92129564,1,1
76071,0.044325244,0,0
82405,0.019660039,0,0
40490,0.9560787,1,1
18242,0.73406386,1,1
206,0.9664307,1,1
2597,0.095751435,0,1
79052,0.07543706,0,0
42856,0.16197747,0,1
11345,0.98334724,1,1
27618,0.52968675,1,1
13745,0.21153013,0,1
59541,0.09832528,0,0
59448,0.12889303,0,0
80575,0.01684729,0,0
84664,0.13335276,0,0
51030,0.16691308,0,0
61853,0.4325135,0,0
78174,0.5140885,1,0
79825,0.07230957,0,0
576,0.98592097,1,1
72182,0.09823392,0,0
16506,0.9933776,1,1
68192,0.07715309,0,0
12886,0.99262434,1,1
2040,0.70796984,1,1
44351,0.25081113,0,0
3519,0.97897035,1,1
54019,0.5821018,1,0
23058,0.97036934,1,1
65702,0.10705394,0,0
5492,0.9897283,1,1
46492,0.09338555,0,0
11663,0.6483421,1,1
27780,0.99325997,1,1
43979,0.6882458,1,0
6227,0.4612819,0,1
1090,0.7769532,1,1
46800,0.026915975,0,0
7451,0.9258254,1,1
65796,0.2823532,0,0
41078,0.9917224,1,1
50354,0.014838458,0,0
84209,0.01370314,0,0
67635,0.09769705,0,0
84087,0.05086467,0,0
47343,0.106513664,0,0
82691,0.14464627,0,0
75502,0.0072272737,0,0
24436,0.93041515,1,1
72867,0.06803067,0,0
45613,0.0060509997,0,0
44308,0.572348,1,0
78461,0.013202982,0,0
3243,0.9605084,1,1
18771,0.8071453,1,1
15398,0.7353784,1,1
70387,0.011516072,0,0
2337,0.97535366,1,1
10086,0.10878185,0,1
2749,0.984294,1,1
70089,0.12574661,0,0
17831,0.96494526,1,1
73928,0.046237595,0,0
49329,0.018243197,0,0
