index,email_id,phishing_probability,label
0,<200703120220.l2C2Ksp4009825@godsend.mail.UM>,0.76971173,1
0,,0.9971276,1
1,<29683960.1075839973440.JavaMail.evans@thyme>,0.0014368457,0
1,<7137067.1075844201956.JavaMail.evans@thyme>,0.0010703258,0
2,<200309201251.h8KCpJ322808@magnumforce.mr.itd.UM>,0.9987582,1
2,<BAY103-F34012A39D879A5A319A8E2A2840@phx.gbl>,0.99833834,1
3,<200209102131.RAA22275@blackcomb.panasas.com>,0.007625586,0
3,<27807476.1075842404395.JavaMail.evans@thyme>,0.0018246103,0
4,<200210080800.g9880TK06063@dogma.slashnull.org>,0.039693758,0
4,<vAWkKPLUQtizg5elUBb5LA@geopod-ismtpd-38>,0.0036305995,0
5,<57081124-171e-bd42-7017-6acbea1a41df@rgs.net>,0.99638015,1
5,<20050527223958.0B79EC081@krusty.si.UM>,0.99204016,1
6,<13105534.1075841736967.JavaMail.evans@thyme>,0.0012333309,0
6,<E1csD1E-0008VN-T1@bon.bonavenue.com>,0.98901296,1
7,<20060627154942.65999.qmail@web36402.mail.mud.yahoo.com>,0.99277824,1
7,<20161214192107.3F6FB876DC95@mail.tdyv.ru>,0.7857066,1
8,,0.999711,1
8,<20060120145827261.6697@tiscali.co.uk>,0.9982722,1
9,<200208060111.CAA16347@webnote.net>,0.99792624,1
9,<20160207002602.ACE6A61C2A3@idb.com.vn>,0.9961274,1
10,<12927168.1075840356488.JavaMail.evans@thyme>,0.0013593115,0
10,<30861667.1075847160670.JavaMail.evans@thyme>,0.0018246103,0
11,<31622990.1075845517783.JavaMail.evans@thyme>,0.005179145,0
11,<24317656.1075857614033.JavaMail.evans@thyme>,0.0018246103,0
12,<21146115.1075841407493.JavaMail.evans@thyme>,0.005179145,0
12,<200107291534.LAA82720@nonline.net>,0.9416742,1
13,<13066576.1075854362052.JavaMail.evans@thyme>,0.0012139156,0
13,<Kshiwjj7N54h0HRuD6pcCkx78jQtBaCAA1dTXgMZAU@3e6ea8adbbdb21eafc4e5a45f616503d>,0.9935627,1
14,<8804388.1075849868956.JavaMail.evans@thyme>,0.012414434,0
14,<20020810005844.GA652@calm.mc>,0.009784278,0
15,<200207251406.g6PE6gV24296@houston.rr.com>,0.34164277,0
15,<544BmepzThW2XYN7RjL-NQ@geopod-ismtpd-27>,0.0035509109,0
16,<853968.1075855028806.JavaMail.evans@thyme>,0.006431356,0
16,<200403270413.i2R4CubU008353@fate.mr.itd.UM>,0.99742436,1
17,<20230510080727.C2872079692A9C2E@monkey.org>,0.99535453,1
17,<20190610091802.98859092145550B6@al-reefy.com>,0.9887882,1
18,<20240911201211.8DA7F821EA4A90CC@medwayus.net>,0.99867,1
18,<0102018243f98b63-8e53a2fe-25ba-4bbb-ae9d-a1dc5d2e7909-000000@eu-west-1.amazonses.com>,0.99403524,1
19, <06fec0a9-12af-4ea0-81ab-5105c1cc8f76@RALPRODMAIL01.healthdec.com>,0.9985825,1
19,<20060707211914.65337.qmail@web55902.mail.re3.yahoo.com>,0.99703074,1
20,<NEBBKLEDELIODOCJHLPCGEOHNCAA.mgm@starlingtech.com>,0.010711731,0
20,<E1D9LkU-0004EK-Sv@cpanel.ev1servers.net>,0.9983516,1
21,<31164409.1075846387270.JavaMail.evans@thyme>,0.0018246103,0
21,<1141688467.440cc89308c77@eltimon.com>,0.99434185,1
22,<13122582.1075855727523.JavaMail.evans@thyme>,0.0018246103,0
22,<dW26HLrNTc-hB4gsfKVguQ@geopod-ismtpd-5>,0.0021638914,0
23,<59c40f79.9303240a.f1ba3.c070SMTPIN_ADDED_MISSING@mx.google.com>,0.9976412,1
23,<200209261529.g8QFTpg24761@dogma.slashnull.org>,0.039693758,0
24,<22985267.1075845767985.JavaMail.evans@thyme>,0.005179145,0
24,<tnd0cDn4TRq5ePUW0rSUMQ@geopod-ismtpd-9>,0.0049548694,0
25,<efbef6a9b5e193217393ed34709c8b12@citylan.com.pl>,0.9947555,1
25,<200612230911.kBN9BttJ005288@faithful.mail.UM>,0.99742436,1
26,<NDBBJPAGKLCMDEIEKOPBAEFOIHAA.mailinglists@websitemanagers.com.au>,0.007710223,0
26,<33062276.1075859397400.JavaMail.evans@thyme>,0.012414434,0
27,<20463171.1075860332646.JavaMail.evans@thyme>,0.005179145,0
27,<13418019.1075844341775.JavaMail.evans@thyme>,0.0018246103,0
28,<12351899.1075861106289.JavaMail.evans@thyme>,0.0018246103,0
28,<10011703.1075841550691.JavaMail.evans@thyme>,0.0018246103,0
29,<200305061902.h46J2lN5022595@bluewhale.cs.CU>,0.99696016,1
29,<18634761.1075840758270.JavaMail.evans@thyme>,0.0018246103,0
30,<10236294.1075841095158.JavaMail.evans@thyme>,0.005179145,0
30,<7262875.1075856734492.JavaMail.evans@thyme>,0.0012333309,0
31,<200208282039.25043.eh@mad.scientist.com>,0.016688317,0
31,<0000721b7519$00001e44$000043bf@corp.portal.com>,0.9994011,1
32,<Pine.LNX.4.33.0208202342060.5921-100000@hydrogen.leitl.org>,0.000997281,0
32,<2550142.1075846736264.JavaMail.evans@thyme>,0.0018246103,0
33,<B397C4F18189C34B9BD6C5F82461FCBE1B48C1@usilms27.ca.com>,0.011996975,0
33,<16724934.1075841628402.JavaMail.evans@thyme>,0.0018246103,0
34,<18925652.1075853791815.JavaMail.evans@thyme>,0.0012139156,0
34,<200208131402.00058.donncha.ocaoimh@tradesignals.com>,0.0013139347,0
35,<CqusVxYno@ksmail.seed.net.tw>,0.9955069,1
35,<BAY13-F151003E6144DB67C972B41BC690@phx.gbl>,0.99826956,1
36,,0.99798906,1
36,<02492023105420E23E775C63-D281CD7E47@hyperteckelectricals.com>,0.9948037,1
37,<200209261531.g8QFVlg25067@dogma.slashnull.org>,0.039693758,0
37,<LNHSERVER1ZRhQdOgl40000042f@lnhserver1.ladysmithcarecommunity.com>,0.9953002,1
38,<26666094.1075849626006.JavaMail.evans@thyme>,0.0009042106,0
38,<21871069.1075854707400.JavaMail.evans@thyme>,0.0018246103,0
39,<yf2k7los0z5.fsf@proton.pathname.com>,0.012961989,0
39,<20020916114641.B12169@rover.vipul.net>,0.00048739414,0
40,<18861958.1075855687429.JavaMail.evans@thyme>,0.0018246103,0
40,<31859130.1075841615240.JavaMail.evans@thyme>,0.0018246103,0
41,<200207191620.g6JGKTp01769@mandark.labs.netnoteinc.com>,0.99550986,1
41,<722581.1075853082425.JavaMail.evans@thyme>,0.0029323213,0
42,<32605479.1075854207212.JavaMail.evans@thyme>,0.0013593115,0
42,<13680534.1075858807922.JavaMail.evans@thyme>,0.0018246103,0
43,<BAY16-F25FB01CA60582E688E9A5085490@phx.gbl>,0.99845636,1
43,<200308120513.h7C5D5Io021250@bluewhale.cs.CU>,0.9982185,1
44,<31728236.1075852430482.JavaMail.evans@thyme>,0.00299849,0
44,<1762521.1075851598491.JavaMail.evans@thyme>,0.0026120152,0
45,<12091197.1075857875252.JavaMail.evans@thyme>,0.00299849,0
45,<21078601.1075860241835.JavaMail.evans@thyme>,0.0018246103,0
46,<23723673.1075860730737.JavaMail.evans@thyme>,0.0013593115,0
46,<200611230911.kAN9BG0L026619@mailserver-ng.cs.umbc.edu>,0.9988524,1
47,<413-220028422154219900@freesource>,0.98025,1
47,<E1DwHpe-0004xb-Sh@server7.webplus24.de>,0.9975981,1
48,,0.9987453,1
48,,0.9985884,1
49,<16900930.1075851713208.JavaMail.evans@thyme>,0.005179145,0
49,<3234212.1075862030637.JavaMail.evans@thyme>,0.0018246103,0
50,<32056348.1075856116153.JavaMail.evans@thyme>,0.005179145,0
50,<20160622133701.998937DB1B73ED7A@approject.com>,0.9938691,1
51,<002601c24a04$8eea9ca0$0401a8c0@erik>,0.105566174,0
51,<29438651.1075846172069.JavaMail.evans@thyme>,0.0018246103,0
52,,0.9994172,1
52,<1253813cde.13cde12538@email.bigpond.com>,0.98339474,1
53,<23355368.1075858509104.JavaMail.evans@thyme>,0.0018246103,0
53,<BAY20-F198763210A05B4B075E035910B0@phx.gbl>,0.99845636,1
54,,0.9987062,1
54,<037d73b60a4c$6565d3a3$3dd70ea7@fvgioh>,0.9457878,1
55,<200603011849.k21InNxq027767@mailserver-ng.cs.umbc.edu>,0.9984072,1
55,,0.9991683,1
56,<p05200a0db9c4a8c4bd16@[192.168.0.102]>,0.4166094,0
56,<9638441.1075842482038.JavaMail.evans@thyme>,0.0014368457,0
57,<0000341d5b89$00003356$00004c75@xa2.so-net.or.jp>,0.99960154,1
57,<18819072.1075843931448.JavaMail.evans@thyme>,0.0012139156,0
58,<VCPtWJbpSHipJkAm0Vg-7g@geopod-ismtpd-2>,0.0036447938,0
58,<8614824.1075861639631.JavaMail.evans@thyme>,0.012414434,0
59,<15489073.1075858937412.JavaMail.evans@thyme>,0.005179145,0
59,<200208221811.g7MIBJdr004189@sionnach.ireland.sun.com>,0.00960668,0
60,<2033297792.820023461728927112542.JavaMail.app@bg31-ca-ue1.prod.awspr>,0.025768423,0
60,<28195310.1075856117069.JavaMail.evans@thyme>,0.0013593115,0
61,<qwKuhE76TKKwWdgbBeFtng@ismtpd0134p1mdw1.sendgrid.net>,0.93144625,1
61,<200611141411.kAEEBr4c027481@chaos.mail.UM>,0.9967043,1
62,<15280109.1075846098081.JavaMail.evans@thyme>,0.0018246103,0
62,<707532.1075856492009.JavaMail.evans@thyme>,0.0023096916,0
63,<m28z2bua8a.fsf@maya.dyndns.org>,0.013975028,0
63,<23908443.1075841446384.JavaMail.evans@thyme>,0.0018246103,0
64,<16619877.1075843968210.JavaMail.evans@thyme>,0.0018246103,0
64,<20021006123628.0d199281.matthias@rpmforge.net>,0.018925535,0
65,<20191205103218.19DB7D867C3EEB46@wowrack.com>,0.9954711,1
65,<14479558.1075856736282.JavaMail.evans@thyme>,0.0018246103,0
66,<200209261527.g8QFRhg24235@dogma.slashnull.org>,0.25397384,0
66,<5084733.1075845609314.JavaMail.evans@thyme>,0.0013593115,0
67,<20181013091028.B3B49B21DAEBDE4C@aralhajri.com>,0.9991394,1
67,<12c70601c1fdf9$85616080$6701a8c0@insuranceiq.com>,0.98444116,1
68,<20521212.1075852520344.JavaMail.evans@thyme>,0.0018246103,0
68,<BAY15-F73D62F1A67FEF49DA66B6F03E0@phx.gbl>,0.9983925,1
69,<20211009130104C38775385C-D2DB30596C@ricetecmilling.com>,0.99663925,1
69,<20061222122950.1448.qmail@web3115.mail.kcd.yahoo.co.jp>,0.99700636,1
70,<rGfMeaaVTo6onk0nnk0lxg@geopod-ismtpd-4>,0.0049548694,0
70,,0.9862694,1
71,<6529945.1075851636526.JavaMail.evans@thyme>,0.005179145,0
71,<1919273.1075858159041.JavaMail.evans@thyme>,0.005179145,0
72,<12536660.1075856711537.JavaMail.evans@thyme>,0.0014368457,0
72,<001001c249e6$863c4e00$13cca341@networksonline.com>,0.2344368,0
73,<4uks54fu5lrz.6TgsxdsMbMwCG71U_wGYwA2@1B9PF.trk.elasticemail.com>,0.9521849,1
73,,0.99885654,1
74,,0.99932015,1
74,<OFED30FBCB.8F8871A9-ON48256A9E.00103C0D@ec960.com>,0.9058924,1
75,<26118256.1075846920864.JavaMail.evans@thyme>,0.0012139156,0
75,<1027711160.10358.6.camel@avalon>,0.002717525,0
76,<25147872.1075840660717.JavaMail.evans@thyme>,0.0018246103,0
76,<20021125152837.A12813@zork.org>,0.0042906315,0
77,<20160325212350.43CC911A12@smtpin11.b.hostedemail.com>,0.9993449,1
77,<20758037.1075857152164.JavaMail.evans@thyme>,0.0018246103,0
78,<20231018075444.2640BF4EA79ABB64@slwilliarnson.com>,0.9992704,1
78,<1044108035012565@caramail.com>,0.9976082,1
79,,0.99885654,1
79,<18579954.1075854920291.JavaMail.evans@thyme>,0.0018246103,0
80,<20020908150126.44010C44D@argote.ch>,0.11662337,0
80,<20020726170546.GA16004@nexus.cloudmark.com>,0.00050410716,0
81,<20190424080226.1E94896740CCF8F4@zdravushka.by>,0.9984988,1
81,<web-20675150@cgp6.sentechsa.net>,0.9921284,1
82,<200206070650.g576oMZ10732@xum5.xumx.com>,0.938918,1
82,<JHEPKCEMGPKFFDHHDDKDOEDHFEAA.bill@wstoddard.com>,0.0010620635,0
83,<circleplus$196.207.197.107$.443c0c3d.b401.2407.11721@berryllium.onspeed.com>,0.99549896,1
83,,0.9989422,1
84,<3415063.1075847154736.JavaMail.evans@thyme>,0.0013593115,0
84,<002601c23f17$dab92680$f2812d40@landshark>,0.04396752,0
85,<200208060450.g764nxr13584@now9.takemetothesavings.com>,0.914182,1
85,<001d35b30a8b$6531c7d2$3ad61ec6@rnqptb>,0.99214184,1
86,<E18JXQ0-0006PU-00@rhenium>,0.04778638,0
86,<7306762.1075841543296.JavaMail.evans@thyme>,0.0013593115,0
87,<012c42d44c7a$2682e7c3$2ab41bd6@bogrjq>,0.99627626,1
87,<m27khfl8j6.fsf@maya.dyndns.org>,0.013975028,0
88,<2144404.1075852418805.JavaMail.evans@thyme>,0.005179145,0
88,<12991019.1075862324530.JavaMail.evans@thyme>,0.0018246103,0
89,<9858926.1075861734084.JavaMail.evans@thyme>,0.0018246103,0
89,<20021008190633.GV11235@linuxmafia.com>,0.001034516,0
90,<31955483.1075861081459.JavaMail.evans@thyme>,0.0018246103,0
90,<026d38a36a5d$4328a5b8$5bc51bb4@vjokjw>,0.99277556,1
91,<Pine.LNX.4.44.0207241609280.27125-100000@isolnetsux.techmonkeys.net>,0.0013327879,0
91,<JtZVIA1mRjqFw-qsNu88rg@geopod-ismtpd-1>,0.002879165,0
92,<598172.1075853030724.JavaMail.evans@thyme>,0.017162677,0
92,<20241028142924.80dbabbd59d25b4d@cio56239.tryhackme.com>,0.016811213,0
93,<qIXMEEGwTS6q0bAq1W9QaA@geopod-ismtpd-11>,0.58502346,1
93,,0.997191,1
94,<200411241239.iAOCdQD06794@tightrope.mr.itd.UM>,0.99742436,1
94,<665196.1075857855714.JavaMail.evans@thyme>,0.006431356,0
95,<200507231509.j6NF9JZT028738@jacknife.mail.UM>,0.9967043,1
95,<200209261528.g8QFSBg24408@dogma.slashnull.org>,0.039693758,0
96,<J0E5TJ$63535BB7C1D62F80DB9FE707D075D296@terra.com.mx>,0.9950086,1
96,<3614364.1075845418514.JavaMail.evans@thyme>,0.0010703258,0
97,<3738989.1075842103941.JavaMail.evans@thyme>,0.005179145,0
97,<200209250803.g8P83iC18354@dogma.slashnull.org>,0.039693758,0
98,<BAY21-F11427056C0FA2CF854C6A182770@phx.gbl>,0.9983925,1
98,<200209260801.g8Q81NC06404@dogma.slashnull.org>,0.039693758,0
99,,0.9988588,1
99,<200207130746.DAA17258@noc.app-net.com>,0.80230534,1
100,<BAY12-F13AC56517C0B13A7B0EFA3DF0C0@phx.gbl>,0.99826956,1
100,<200209070321.g873L2X2015392@lerami.lerctr.org>,0.97714144,1
101,<ArvQme-3R6Kwy8v3d_cKnQ@geopod-ismtpd-2>,0.004111347,0
101,<25800355.1075841804943.JavaMail.evans@thyme>,0.0018246103,0
102,<200210010801.g9181EK15591@dogma.slashnull.org>,0.039693758,0
102,<8063005.1075856584523.JavaMail.evans@thyme>,0.0018246103,0
103,<200303220409.h2M49mA12918@deadpool.mr.itd.UM>,0.9967043,1
103,,0.9985884,1
104,<20712139.1075854154855.JavaMail.evans@thyme>,0.0009042106,0
104,<m2y9a0wkfb.fsf@maya.dyndns.org>,0.6334228,0
105,<20070223093530.3523162D9@mx.strefa.interia.pl>,0.9713289,1
105,<200607251920.k6PJKSGp017149@awakenings.mail.UM>,0.99733764,1
106,<eba723ebde33.ebde33eba723@ma18.eresmas.com>,0.9996043,1
106,<412-220027021145711390@user>,0.9914117,1
107,<4bdb5801c20a78$871f6490$6701a8c0@insuranceiq.com>,0.996201,1
107,<200602091410.k19EAusE031808@chaos.mail.UM>,0.99742436,1
108,<200209261531.g8QFVig25045@dogma.slashnull.org>,0.039693758,0
108,<30241313.1075842909236.JavaMail.evans@thyme>,0.0018246103,0
109,<TAXsPwzzTiyH0aP0OBR-fg@geopod-ismtpd-22>,0.002715179,0
109,<D79A56AD131896448D0860DEE07CBE1FE15A@med-core07.med.wayne.edu>,0.011996975,0
110,<200208222015.15926.neugens@libero.it>,0.051337555,0
110,<3jGy9xKuSSuxQBmzBKAhIg@geopod-ismtpd-3-1>,0.024707902,0
111,<29153893.1075847086920.JavaMail.evans@thyme>,0.0018246103,0
111,<200602231759.k1NHxKpd030456@sleepers.mail.UM>,0.9986035,1
112,<24594643.1075840010316.JavaMail.evans@thyme>,0.0018868515,0
112,<12974759.1075858058945.JavaMail.evans@thyme>,0.00091867713,0
113,<20020802151150.A23016@rover.vipul.net>,0.00048739414,0
113,<20051006032514.22474.qmail@web52014.mail.yahoo.com>,0.9964636,1
114,<2981374.1027031363189.JavaMail.root@abv-sfo1-ac-agent4>,0.006252718,0
114,<200207191210.g6JCA3902060@vls3.vlcfw.com>,0.9929301,1
115,<5309047.1075847130878.JavaMail.evans@thyme>,0.0013593115,0
115,<26592.1028641206@munnari.OZ.AU>,0.004942833,0
116,<E1ITYuE-0005vf-PA@afrodite.srvbrasil.com.br>,0.9983516,1
116,,0.9988937,1
117,<33363905.1075841338554.JavaMail.evans@thyme>,0.0018246103,0
117,<20190617092816.6CEFC9240C2ADFF7@talksgroup.com>,0.99674666,1
118,<20240710190652.FBB8DD6B1D4E732D@lowcostwindows.com>,0.9992269,1
118,,0.9988588,1
119,<18170328.1075841419000.JavaMail.evans@thyme>,0.0013593115,0
119,<19747455.1075841912089.JavaMail.evans@thyme>,0.0018246103,0
120,<3D8D5C3B.2090202@barrera.org>,0.0064899046,0
120,<200511171113.jAHBD9Fa031847@flawless.mail.UM>,0.99742436,1
121,<31636752.1075844712460.JavaMail.evans@thyme>,0.005179145,0
121,<23702077.1075859914363.JavaMail.evans@thyme>,0.0014368457,0
122,<egzVTgzNQrqizpBPaOu7xw@geopod-ismtpd-5>,0.01154252,0
122,<200204262018.g3QKIaD12534@mandark.labs.netnoteinc.com>,0.9317058,1
123,<10074477.1075847129295.JavaMail.evans@thyme>,0.0012139156,0
123,<200209261531.g8QFVkg25055@dogma.slashnull.org>,0.039693758,0
124,<33203141.1075840434755.JavaMail.evans@thyme>,0.0018246103,0
124,<19bdddd1-eeae-4115-bfe2-6856e832f42d@atl1s07mta2930.xt.local>,0.073510066,0
125,<22053823.1075846993337.JavaMail.evans@thyme>,0.005179145,0
125,<200209261528.g8QFSTg24435@dogma.slashnull.org>,0.039693758,0
126,<000018e94cd4$0000220a$000063aa@>,0.9941954,1
126,<14110018.1075862045157.JavaMail.evans@thyme>,0.0011838999,0
127,<494046.1075857640633.JavaMail.evans@thyme>,0.006431356,0
127,<3D52537D.8000104@heanet.ie>,0.011704693,0
128,<2397720154394218224.010678896A729694@monkey.org>,0.9986664,1
128,<BAY21-F207822E8A0EB019EFA9AC48CB70@phx.gbl>,0.99833834,1
129,<5646149.1075853063197.JavaMail.evans@thyme>,0.0012333309,0
129,<20240117003832.03D12485966149A0@exalplast.com>,0.9989446,1
130,<30942471.1075857176701.JavaMail.evans@thyme>,0.0018246103,0
130,<2E.E4.60158.C6116476@i-00415d1b138603317.mta1vrest.sd.prd.sparkpost>,0.009542908,0
131,<2606353.1075857558138.JavaMail.evans@thyme>,0.0018246103,0
131,<E17js6f-0003Ok-00@cpu59.osdn.com>,0.114444666,0
132,<29747063.1075844522927.JavaMail.evans@thyme>,0.0018246103,0
