number_of_text_plain_sections,number_of_text_html_sections,number_of_image_sections,number_of_application_sections,ratio_text_plain_to_any_text_sections,length_of_text_in_text_html_section,index_charset_first_sec,num_unique_charset,num_standart_header,num_in_reply_to,num_received,exist_x_mailer,exist_user_agent,mime_version,case_var_MV,length_message_id,ascii_boundary_char,existence_of_domain,is_id_part_hex,is_id_part_decimal,existence_of_dots_in_id_part,existence_of_special_chars_in_id_part,is_domain_part_hex,is_domain_part_decimal,existence_of_dots_in_domain_part,existence_of_special_chars_in_domain_part,num_From_header_tags_in_thread,num_ofToheader_tags_in_thread,num_ofunique_To_addresses_in_thread,num_ofunique_Reply-To_addresses_in_thread,num_ofuniquedomains_in_all_email_addresses,ratio_unique_To_domains_to_unique_domains_in_all_addresses,num_Cc_addresses,num_Bcc_addresses,num_of_Sender_addresses,IsReturn_Path_identical_to_Reply_To,num_ofTo_domains_identical_to_From_domain,num_ofCc_domains_identical_to_From_domain,num_ofBcc_domains_identical_to_From_domain,IsFrom_domain_same_as_Reply-To_domain,IsFrom_domain_same_as_Return-Path_domain,IsFrom_entity_bracketed,IsTo_entity_bracketed,len_first_boundary,boundary_start_with_=,exist_=_middle_boundary,exist_underscore_boundary,exist_dot_boundary,exist_other_special_char_boundary,boundary_hexadecimal,boundary_decimal,length_style,exist_direction,exist_JS,depht_DOM_tree,num_DOM_leaf,num_unique_DOM_leaf,mean_DOM_leaf_depths,standart_dev_DOM_depths,num_email_addresses_in_html_section,num_a_tags,num_URLs_in_html_section,ratio_unique_domains_to_domains_of_allURLs_in_anytags,label,email_id,index,phishing_probability_original
1,1,0,1,0.5,0,1,1,6,0,2,0,0,1,0,72,64,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0,61,0,0,1,0,0,0,0,1336,0,0,4,26,6,3.1538461538461537,0.9483713850721502,0,0,2,1.0,1,<57C21ED2FF07DF48A3586B45BF8E8DC4DBDBCA33@SBWC-EXCH1.atl.sbwc.state.ga.us>,0,0.99753726
1,0,0,0,1.0,0,-1,0,5,0,7,0,0,0,0,38,64,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,1,<sjbvlsjvl587s54vs5843v54@test-friendly>,1,0.9967043
0,1,1,0,0.0,0,1,1,7,0,3,0,0,1,0,45,64,1,0,0,0,0,0,0,0,0,1,1,1,1,2,0.5,0,0,0,1,0,0,0,0,0,1,1,47,0,1,1,0,0,0,0,2848,0,0,24,20,8,18.05,5.5450428312142,1,4,4,0.25,1,<USERPC4f17e502b34349e0a154a42282497eb9@userPC>,2,0.9983076
1,0,0,0,1.0,0,1,1,8,0,0,1,0,1,0,32,64,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,1,<web-328089274@mail01.infosat.net>,3,0.9921284
1,1,2,0,0.5,0,1,1,7,0,3,0,0,1,0,57,64,1,1,0,0,1,0,0,1,1,1,1,1,0,2,0.5,0,0,0,0,0,0,0,0,0,1,1,56,0,0,1,0,0,0,0,18065,0,0,26,57,10,19.859649122807017,6.142856631583015,2,0,3,0.6666666666666666,1,<df682d23-1b11-8608-6850-631f4676eaf4@amazn-usshipping2.co>,4,0.99202603
1,1,0,0,0.5,0,1,1,7,0,2,0,0,1,0,47,64,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1.0,0,0,0,0,1,0,0,0,0,1,1,27,1,1,0,0,0,1,1,1380,0,0,5,27,7,4.222222222222222,0.9558139185602919,0,1,10,0.3,1,<SUP-SRV02y16xsoIIzQ00002e7d@SUP-SRV02.unifra.br>,5,0.9992238
1,0,0,0,1.0,0,1,1,7,0,0,1,0,1,0,44,64,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,1,<200611240921.kAO9LWdr031172@flawless.mail.UM>,6,0.9986035
0,1,0,0,0.0,0,1,1,8,0,3,0,0,1,0,53,64,1,0,0,1,0,0,0,1,0,1,1,1,0,2,0.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,391,0,0,17,31,6,13.516129032258064,2.9932285702353667,0,6,8,0.125,1,<200205221306.g4MD6pD31214@mandark.labs.netnoteinc.com>,7,0.99381703
1,0,0,0,1.0,0,1,1,8,0,0,1,0,1,1,54,64,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,1,<200611231650.kANGo3iL030805@host113.host113-server.com>,8,0.99888974
0,1,0,0,0.0,0,1,1,7,0,8,1,0,1,0,37,64,1,1,0,0,1,0,0,0,0,1,1,1,1,2,0.5,0,0,0,0,0,0,0,0,0,0,0,41,0,1,1,1,0,0,0,0,0,0,3,26,3,2.076923076923077,0.3846153846153846,0,2,2,0.5,1,<015e47e51e6e$3754a4d7$2da85be8@rymusn>,9,0.9903349
